snapshot_pct,snapshot_step,direction,bin,dataset_index,exposure_step,exposure_status,baseline_p0,baseline_p0_completion_length,prompt_token_count,delta_R,delta_T,delta_C
25,934,A-bin/B-base,0,40,2176,unexposed,0.125,1762.75,75.0,0.1875,0.25,0.25
25,934,B-bin/A-base,"(0,.25]",40,2176,unexposed,0.0,2048.0,75.0,0.3125,0.5625,0.375
25,934,A-bin/B-base,"(.75,1)",41,1097,unexposed,0.75,1156.125,102.0,0.1875,0.125,0.0625
25,934,B-bin/A-base,"(.5,.75]",41,1097,unexposed,0.8125,1124.875,102.0,0.125,0.0625,0.0625
25,934,A-bin/B-base,0,42,124,exposed,0.0625,1877.3125,98.0,0.125,0.0625,0.3125
25,934,B-bin/A-base,"(0,.25]",42,124,exposed,0.0,1959.375,98.0,0.1875,0.125,0.25
25,934,A-bin/B-base,0,43,3568,unexposed,0.0625,1643.6875,86.0,0.125,0.4375,-0.0625
25,934,B-bin/A-base,"(0,.25]",43,3568,unexposed,0.0,1732.0,86.0,0.1875,0.4375,0.1875
25,934,A-bin/B-base,"(.5,.75]",44,1681,unexposed,0.75,1112.875,100.0,0.125,0.125,0.125
25,934,B-bin/A-base,"(.5,.75]",44,1681,unexposed,0.625,1358.1875,100.0,0.25,0.3125,0.0625
25,934,A-bin/B-base,"(.5,.75]",45,1410,unexposed,0.5,1503.1875,115.0,-0.125,0.1875,-0.3125
25,934,B-bin/A-base,"(.25,.5]",45,1410,unexposed,0.625,1377.9375,115.0,-0.25,0.125,-0.375
25,934,A-bin/B-base,"(.25,.5]",46,1204,unexposed,0.375,1342.4375,75.0,0.0625,0.0625,-0.1875
25,934,B-bin/A-base,"(.25,.5]",46,1204,unexposed,0.5,1503.1875,75.0,-0.0625,0.0,-0.3125
25,934,A-bin/B-base,"(.25,.5]",47,1093,unexposed,0.75,1556.6875,87.0,0.0625,0.125,-0.0625
25,934,B-bin/A-base,"(.5,.75]",47,1093,unexposed,0.5,1485.625,87.0,0.3125,0.375,0.125
25,934,A-bin/B-base,"(.5,.75]",48,817,exposed,0.6875,1172.625,81.0,0.25,0.25,0.0
25,934,B-bin/A-base,"(.5,.75]",48,817,exposed,0.6875,1375.8125,81.0,0.25,0.25,0.0625
25,934,A-bin/B-base,"(.5,.75]",49,2630,unexposed,0.875,930.3125,88.0,0.0625,0.0625,0.125
25,934,B-bin/A-base,"(.75,1)",49,2630,unexposed,0.6875,1306.75,88.0,0.25,0.1875,0.1875
25,934,A-bin/B-base,0,50,1370,unexposed,0.0,1970.125,106.0,0.0,0.375,0.0
25,934,B-bin/A-base,0,50,1370,unexposed,0.0,1680.9375,106.0,0.0,0.0625,0.0
25,934,A-bin/B-base,"(.5,.75]",51,3474,unexposed,0.5,1554.0,95.0,0.125,0.3125,-0.0625
25,934,B-bin/A-base,"(.25,.5]",51,3474,unexposed,0.625,1560.125,95.0,0.0,0.1875,-0.0625
25,934,A-bin/B-base,"(.5,.75]",52,689,exposed,0.5,1294.3125,81.0,0.125,0.3125,0.0625
25,934,B-bin/A-base,"(.25,.5]",52,689,exposed,0.6875,1408.875,81.0,-0.0625,0.125,-0.0625
25,934,A-bin/B-base,"(.5,.75]",53,2253,unexposed,0.75,1220.5,92.0,0.0,0.0625,-0.125
25,934,B-bin/A-base,"(.5,.75]",53,2253,unexposed,0.75,1056.4375,92.0,0.0,0.0,-0.0625
25,934,A-bin/B-base,"(0,.25]",54,1788,unexposed,0.1875,1640.125,100.0,0.0625,0.3125,0.125
25,934,B-bin/A-base,"(0,.25]",54,1788,unexposed,0.1875,1457.625,100.0,0.0625,0.125,0.0
25,934,A-bin/B-base,"(.5,.75]",55,1296,unexposed,0.8125,1173.25,67.0,0.0625,0.0625,0.0625
25,934,B-bin/A-base,"(.75,1)",55,1296,unexposed,0.75,1243.0,67.0,0.125,0.0,0.125
