snapshot_pct,snapshot_step,direction,bin,n_questions,n_exposed,n_unexposed,n_covariates_used,used_covariates,dropped_covariates,raw_delta_R_exposed,raw_delta_R_unexposed,raw_gap_R_unexposed_minus_exposed,adjusted_delta_R_unexposed,adjusted_delta_R_exposed,adjusted_gap_R_unexposed_minus_exposed,raw_delta_T_exposed,raw_delta_T_unexposed,raw_gap_T_unexposed_minus_exposed,adjusted_delta_T_unexposed,adjusted_delta_T_exposed,adjusted_gap_T_unexposed_minus_exposed,raw_delta_C_exposed,raw_delta_C_unexposed,raw_gap_C_unexposed_minus_exposed,adjusted_delta_C_unexposed,adjusted_delta_C_exposed,adjusted_gap_C_unexposed_minus_exposed,adjusted_ratio_C_unexposed_over_exposed,adjusted_transfer_classification
45,1681,A-bin/B-base,"(.5,.75]",56,24,32,3,baseline_p0;baseline_p0_completion_length;prompt_token_count,,0.18489583333333334,0.23046875,0.04557291666666666,0.23505437814158908,0.17878166247788108,0.05627271566370799,0.2630208333333333,0.267578125,0.004557291666666685,0.2724272160422296,0.2565553786103604,0.0158718374318692,0.018229166666666668,0.05859375,0.04036458333333333,0.05864923065370389,0.018155192461728108,0.040494038191975786,,not_classifiable
45,1681,A-bin/B-base,"(.75,1)",20,12,8,3,baseline_p0;baseline_p0_completion_length;prompt_token_count,,0.13541666666666666,0.140625,0.005208333333333343,0.08389085055595649,0.17323943296269567,-0.0893485824067392,0.15104166666666666,0.1953125,0.04427083333333334,0.14645566376710298,0.18361289082193133,-0.03715722705482836,0.026041666666666668,0.0234375,-0.002604166666666668,-0.014400946264943551,0.05126729750996235,-0.0656682437749059,-0.2808992664796722,mixed_or_uncertain
45,1681,B-bin/A-base,0,37,22,15,3,baseline_p0;baseline_p0_completion_length;prompt_token_count,,0.028409090909090908,0.0625,0.03409090909090909,0.06281978377149042,0.028191056519438457,0.03462872725205196,0.32670454545454547,0.2791666666666667,-0.047537878787878796,0.27537688113223246,0.3292884901371144,-0.053911609004881976,-0.002840909090909091,0.025,0.027840909090909093,0.02654399241402568,-0.0038936311913811104,0.03043762360540679,,not_classifiable
45,1681,B-bin/A-base,"(0,.25]",86,44,42,3,baseline_p0;baseline_p0_completion_length;prompt_token_count,,0.14772727272727273,0.20535714285714285,0.057629870129870114,0.2065073859752708,0.14662931338724183,0.05987807258802897,0.3352272727272727,0.3854166666666667,0.05018939393939398,0.3850946738240507,0.3355346295315887,0.04956004429246203,0.08096590909090909,0.11904761904761904,0.03808170995670995,0.11443256038289035,0.0853711923617866,0.029061368021103748,1.3404118791962902,transfer_compatible
45,1681,B-bin/A-base,"(.25,.5]",59,30,29,3,baseline_p0;baseline_p0_completion_length;prompt_token_count,,0.17916666666666667,0.20043103448275862,0.02126436781609195,0.18920879493649728,0.19001483156138554,-0.0008060366248882597,0.27291666666666664,0.3103448275862069,0.037428160919540265,0.30530343041240965,0.2777900172680038,0.027513413144405856,0.052083333333333336,0.09267241379310345,0.04058908045977012,0.08676828338922335,0.0577906593904173,0.028977623998806053,1.5014240070015719,transfer_compatible
45,1681,B-bin/A-base,"(.5,.75]",55,25,30,3,baseline_p0;baseline_p0_completion_length;prompt_token_count,,0.205,0.22916666666666666,0.02416666666666667,0.227440827602279,0.207071006877265,0.020369820725013987,0.23,0.2520833333333333,0.022083333333333316,0.24806677503626015,0.2348198699564876,0.013246905079772553,0.0375,0.08333333333333333,0.04583333333333333,0.08184348212957124,0.03928782144451446,0.04255566068505678,2.0831769011462606,unexposed_higher
45,1681,B-bin/A-base,"(.75,1)",19,11,8,3,baseline_p0;baseline_p0_completion_length;prompt_token_count,,0.1534090909090909,0.09375,-0.05965909090909091,0.11679664814288218,0.13664789225972207,-0.019851244116839903,0.14772727272727273,0.1484375,0.0007102272727272652,0.16432769751523071,0.13617076544346857,0.028156932071762137,0.03977272727272727,-0.015625,-0.05539772727272727,0.0002080117606139846,0.02825780962864436,-0.028049797868030375,0.00736121317779448,transfer_compatible
65,2428,A-bin/B-base,0,33,20,13,3,baseline_p0;baseline_p0_completion_length;prompt_token_count,,0.11875,0.09615384615384616,-0.022596153846153835,0.08011540784537378,0.12917498490050686,-0.04905957705513307,0.321875,0.28365384615384615,-0.03822115384615388,0.26869524262957983,0.3315980922907724,-0.06290284966119257,0.084375,0.03365384615384615,-0.05072115384615385,0.02919523949795016,0.08727309432633219,-0.05807785482838203,0.33452737895121615,mixed_or_uncertain
65,2428,A-bin/B-base,"(0,.25]",89,62,27,3,baseline_p0;baseline_p0_completion_length;prompt_token_count,,0.18245967741935484,0.22916666666666666,0.046706989247311814,0.23078326191834528,0.18175567626136588,0.04902758565697941,0.36088709677419356,0.36574074074074076,0.004853643966547194,0.37118495625346076,0.3585162287283317,0.01266872752512905,0.10181451612903226,0.14351851851851852,0.04170400238948625,0.14419187940035985,0.10152127832564983,0.04267060107471002,1.4203118969585422,unexposed_higher
65,2428,A-bin/B-base,"(.25,.5]",57,41,16,3,baseline_p0;baseline_p0_completion_length;prompt_token_count,,0.2423780487804878,0.265625,0.023246951219512202,0.26152055712185907,0.24397978258659175,0.017540774535267322,0.3323170731707317,0.36328125,0.030964176829268275,0.3664927484817891,0.33106380547052155,0.03542894301126751,0.0975609756097561,0.1015625,0.004001524390243899,0.09747209725850706,0.09915723033814366,-0.0016851330796366082,0.9830054442435513,transfer_compatible
65,2428,A-bin/B-base,"(.5,.75]",56,36,20,3,baseline_p0;baseline_p0_completion_length;prompt_token_count,,0.2065972222222222,0.259375,0.05277777777777781,0.2396764403682535,0.21754086646208112,0.02213557390617237,0.2777777777777778,0.271875,-0.005902777777777812,0.25172550252491466,0.28897194304171386,-0.03724644051679923,0.026041666666666668,0.075,0.048958333333333326,0.07091079817927907,0.028313445455956092,0.04259735272332298,2.5044920191570004,unexposed_higher
65,2428,A-bin/B-base,"(.75,1)",20,14,6,3,baseline_p0;baseline_p0_completion_length;prompt_token_count,,0.08482142857142858,0.19791666666666666,0.11309523809523808,0.19122311195976385,0.08769009487438684,0.10353301708537702,0.13392857142857142,0.22916666666666666,0.09523809523809523,0.19636511927029252,0.14798637745558885,0.04837874181470366,0.004464285714285714,0.052083333333333336,0.04761904761904762,0.042002390072102797,0.008784689969098744,0.03321770010300405,,not_classifiable
65,2428,B-bin/A-base,0,37,27,10,3,baseline_p0;baseline_p0_completion_length;prompt_token_count,,0.08564814814814815,0.05625,-0.029398148148148152,0.06640044808245046,0.08188872293242583,-0.015488274849975366,0.33796296296296297,0.29375,-0.044212962962962954,0.3044200999672303,0.3340110740862112,-0.029590974118980932,0.046296296296296294,0.03125,-0.015046296296296294,0.03808672554364135,0.04376417572457731,-0.005677450180935961,0.8702717442534262,transfer_compatible
65,2428,B-bin/A-base,"(0,.25]",86,55,31,3,baseline_p0;baseline_p0_completion_length;prompt_token_count,,0.19886363636363635,0.22379032258064516,0.024926686217008803,0.22240310154764642,0.199645524582236,0.02275757696541043,0.35568181818181815,0.40725806451612906,0.051576246334310905,0.39822612728167517,0.3607725464412382,0.03745358084043699,0.11363636363636363,0.11693548387096774,0.0032991202346041026,0.1118863511570654,0.11648223843874507,-0.0045958872816796725,0.9605443083573937,transfer_compatible
65,2428,B-bin/A-base,"(.25,.5]",59,39,20,3,baseline_p0;baseline_p0_completion_length;prompt_token_count,,0.20192307692307693,0.23125,0.029326923076923084,0.24901856514737195,0.19281099223211667,0.056207572915255265,0.30288461538461536,0.3,-0.0028846153846153744,0.3213769306704441,0.29192208683566917,0.029454843834774917,0.08173076923076923,0.125,0.04326923076923077,0.14654284442312326,0.07068315670609038,0.07585968771703289,2.0732357078004764,unexposed_higher
65,2428,B-bin/A-base,"(.5,.75]",55,39,16,3,baseline_p0;baseline_p0_completion_length;prompt_token_count,,0.20352564102564102,0.2734375,0.06991185897435898,0.2751274685558854,0.20283232059245726,0.0722951479634281,0.2483974358974359,0.3046875,0.0562900641025641,0.2984754240513102,0.25094597987638545,0.047529444174924766,0.046474358974358976,0.06640625,0.019931891025641024,0.08047902097610714,0.04070091447134062,0.03977810650476652,1.9773270950159145,transfer_compatible
65,2428,B-bin/A-base,"(.75,1)",19,14,5,3,baseline_p0;baseline_p0_completion_length;prompt_token_count,,0.11607142857142858,0.1375,0.021428571428571436,0.1295771575460498,0.11890101516212509,0.010676142383924692,0.13392857142857142,0.175,0.041071428571428564,0.16859264138252672,0.13621691379195497,0.03237572759057176,0.022321428571428572,0.0125,-0.009821428571428571,5.358252370570839e-05,0.026766577670105082,-0.026712995146399375,0.0020018444033490825,transfer_compatible
