snapshot_pct,bin,grpo_signal,maxrl_signal,maxrl_over_grpo_signal,maxrl_minus_grpo_signal,grpo_is_proxy,maxrl_is_proxy,maxrl_over_grpo_is_proxy,grpo_actual_is_ess_fraction,maxrl_actual_is_ess_fraction,grpo_delta_R,maxrl_delta_R,maxrl_minus_grpo_delta_R,grpo_delta_T,maxrl_delta_T,maxrl_minus_grpo_delta_T,grpo_delta_C,maxrl_delta_C,maxrl_minus_grpo_delta_C
15,0,0.8868303308835486,1.5626535755410536,1.762066001942201,0.675823244657505,1375.5693804059554,2211.2190378048826,1.6074936453967243,0.9979420032133279,0.997899415080157,0.020526208026208026,0.04013104013104013,0.019604832104832104,0.09602784602784603,0.07273751023751024,-0.023290335790335792,-0.00012796887796887816,0.01568898443898444,0.015816953316953316
20,"(.25,.5]",3.063035391769592,3.828724371247745,1.2499771897953145,0.7656889794781527,4455.394682731774,5845.010370412687,1.311895081499017,0.9980406066980579,0.9980419023011334,0.12040031222123104,0.10879423134106453,-0.011606080880166514,0.18076308355634851,0.1590562741599762,-0.021706809396372317,0.03844223907225691,0.032699598572702944,-0.005742640499553968
20,"(.5,.75]",2.487257873056481,1.9967532588773733,0.8027930197779017,-0.4905046141791076,3434.512926414996,2829.0241200367664,0.8237046069265346,0.997942071926353,0.9979573793727714,0.15595576298701297,0.12615665584415584,-0.029799107142857134,0.19697646103896105,0.1660815746753247,-0.030894886363636354,0.023762175324675325,0.01190137987012987,-0.011860795454545455
20,"(.75,1)",4.750538078989638,1.9500000270769786,0.41047982242291847,-2.800538051912659,6173.898461975694,2649.146349598086,0.42908809821118105,0.9981627541255862,0.9980205707540701,0.08182565789473684,0.08141447368421054,-0.0004111842105262997,0.10230263157894737,0.10682565789473683,0.0045230263157894635,0.009621710526315788,-0.004934210526315789,-0.014555921052631577
20,"(0,.25]",2.283469004029428,4.916514255170695,2.153089990052404,2.6330452511412665,3565.271693242816,7409.122679395163,2.0781369042470215,0.9979280946809366,0.9979293002608649,0.10458175463809773,0.09627319048863339,-0.008308564149464334,0.2018511562581657,0.1869079892866475,-0.01494316697151818,0.0470709759602822,0.06196514894172982,0.014894172981447615
20,0,1.4233515767729936,2.6953317064129845,1.8936514002561542,1.2719801296399909,2235.724809987701,4411.239247351669,1.9730689696894923,0.9979481491158256,0.9979230432218431,0.051852989352989355,0.021268427518427516,-0.03058456183456184,0.1819461506961507,0.12182637182637182,-0.06011977886977887,0.01771089271089271,-0.0014844389844389846,-0.019195331695331698
25,"(.25,.5]",4.608205218529404,5.212013100065931,1.131028861108147,0.6038078815365271,6383.428398833845,7608.259932975801,1.191876756127744,0.9980544766426729,0.9980594155756093,0.17581028843294677,0.13473832887303006,-0.041071959559916715,0.2576754385964912,0.20370576865893547,-0.05396966993755575,0.056125483199524234,0.03768956289027654,-0.01843592030924769
25,"(.5,.75]",3.2606230909222518,2.3032467705983812,0.7063824018822484,-0.9573763203238705,4343.43791263606,3184.1715827332664,0.7330993666260956,0.9979651431367439,0.997990713394893,0.17625811688311688,0.15876623376623378,-0.0174918831168831,0.23530844155844155,0.19249188311688312,-0.04281655844155843,0.019216720779220778,0.028196022727272726,0.008979301948051948
25,"(.75,1)",4.750538078989638,1.9500000270769786,0.41047982242291847,-2.800538051912659,6173.898461975694,2649.146349598086,0.42908809821118105,0.9981627541255862,0.9980205707540701,0.1040296052631579,0.0897203947368421,-0.0143092105263158,0.13421052631578947,0.11990131578947369,-0.014309210526315785,0.012828947368421053,0.006414473684210526,-0.006414473684210526
25,"(0,.25]",2.8191594867946383,5.750457288049549,2.039777215508929,2.9312978012549102,4345.576625645503,8583.352877715344,1.9751930795698147,0.9979321423209145,0.9979570860035423,0.14286239221322183,0.10670074470864907,-0.036161647504572764,0.24801574340214266,0.2278506336556049,-0.020165109746537763,0.09005095374967337,0.06208763391690619,-0.027963319832767175
25,0,1.7395641788791476,4.736281747363026,2.7226829598289104,2.996717568483878,2679.3995066968528,7781.536561432458,2.9042091490960558,0.9979492699176284,0.9979342846827022,0.042971949221949225,0.052671990171990174,0.009700040950040949,0.16482391482391484,0.18634828009828008,0.021524365274365242,0.02231777231777232,0.022752866502866502,0.0004350941850941835
30,"(.25,.5]",5.150071545442831,5.609574804940449,1.0892226943729006,0.45950325949761783,7147.8374275927745,8151.0802488557965,1.1403561330858207,0.9980670032902018,0.9980767262387462,0.17752936366339578,0.16548654475170976,-0.012042818911686015,0.27503345227475473,0.2313317722271781,-0.04370168004757663,0.058755203687184065,0.05210191793041927,-0.0066532857567647985
30,"(.5,.75]",4.058201072147334,2.7740259958431124,0.6835605103162815,-1.2841750763042215,5358.12164271499,3781.354683590055,0.7057239338213347,0.9979792695217804,0.998007762497807,0.18243709415584414,0.1671875,-0.015249594155844148,0.23136160714285714,0.19756493506493505,-0.033796672077922085,0.02258522727272727,0.029819399350649353,0.0072341720779220825
30,"(.75,1)",5.391351435960908,2.560526351964003,0.4749321913769172,-2.8308250839969045,6769.426362753993,3525.9733502930085,0.5208673765465917,0.9981175052794323,0.9979985299548098,0.1069078947368421,0.11077302631578947,0.00386513157894737,0.11324013157894736,0.12154605263157894,0.008305921052631587,0.018832236842105263,0.014884868421052631,-0.003947368421052632
30,"(0,.25]",3.3350929968499052,6.629344147990446,1.9877539109860083,3.294251151140541,5115.021421119885,9942.457357797524,1.9437762893318866,0.9979577976140335,0.9979815445628701,0.136566664489156,0.12530212960543508,-0.011264534883720922,0.28797850796968905,0.27544421217663967,-0.012534295793049377,0.0672483342043376,0.061687516331330024,-0.005560817873007572
30,0,1.9544659473008057,5.4242424353237135,2.7753066983923693,3.469776488022908,3015.1371631931984,8695.337915061908,2.8838946437358954,0.9979944035069093,0.9979748293512045,0.04834664209664209,0.039184070434070434,-0.009162571662571659,0.26750614250614246,0.19878685503685503,-0.06871928746928743,0.005553849303849303,0.014946764946764947,0.009392915642915644
35,"(.25,.5]",5.684226883435192,6.423431487741249,1.1300448802387226,0.7392046043060567,7797.488625696535,9064.344421751128,1.1624697202993903,0.9980665189467943,0.9980754272042542,0.1844335414808207,0.16503122212310437,-0.01940231935771633,0.2733143770443057,0.25296424323520666,-0.020350133809099058,0.054973238180196254,0.04417558727326791,-0.010797650906928344
35,"(.5,.75]",4.433805511122594,2.9178571657410686,0.6580931794192068,-1.515948345381525,5798.766359994159,3920.278533477362,0.6760538863099342,0.9979830330601518,0.998016332993801,0.1919744318181818,0.18016436688311688,-0.011810064935064923,0.2538961038961039,0.22181412337662337,-0.032081980519480524,0.02990056818181818,0.02594358766233766,-0.00395698051948052
35,"(.75,1)",6.170723903237989,2.665789512211555,0.43200596137719344,-3.504934391026434,7430.887899191583,3628.2344600524098,0.48826392071492974,0.9981131119825624,0.998020154436909,0.09646381578947369,0.1138157894736842,0.017351973684210514,0.14407894736842106,0.12450657894736841,-0.019572368421052644,-0.004523026315789474,0.022615131578947366,0.02713815789473684
35,"(0,.25]",4.052611670648347,7.863208797345873,1.940281832156866,3.810597126697526,6075.434734478549,11569.000396684456,1.9042259364633627,0.9979604007748579,0.9979830350351399,0.15110971387509797,0.1367585576169323,-0.01435115625816566,0.2985612098249281,0.2647880193362947,-0.03377319048863342,0.08246913378625556,0.08318362947478443,0.0007144956885288684
35,0,2.3494199546119603,6.689598700679979,2.847340547843802,4.340178746068019,3619.4574900965085,10301.433646409841,2.8461264359635194,0.9979885092738896,0.9979779474018997,0.04507063882063882,0.03908169533169534,-0.0059889434889434795,0.24421580671580673,0.2053132678132678,-0.03890253890253892,0.01957923832923833,0.014946764946764947,-0.004632473382473383
40,"(.25,.5]",6.310732143139896,6.971156734032731,1.1046510255724848,0.660424590892835,8468.361223345126,9744.398313678645,1.150682883816506,0.9980673005687395,0.998075533740757,0.2099223163841808,0.17624702646446627,-0.033675289919714524,0.29929564377044304,0.2586975914362176,-0.04059805233422542,0.0873847754980672,0.06509255129348795,-0.022292224204579242
40,"(.5,.75]",4.755624435672706,3.0610389865257526,0.6436670994379635,-1.6945854491469534,6083.4753260600555,4073.947726585221,0.6696744061956607,0.9980042349485121,0.9980338492636494,0.20493100649350648,0.18065137987012986,-0.024279626623376627,0.24879261363636362,0.2273538961038961,-0.02143871753246751,0.03603896103896104,0.030976055194805195,-0.005062905844155842
40,"(.75,1)",6.358148945554307,3.0236842511221766,0.47556046217450954,-3.33446469443213,7547.032096907213,3982.005123933417,0.5276253065844585,0.9981275832628007,0.9980405047402916,0.10748355263157894,0.12220394736842105,0.014720394736842113,0.13766447368421053,0.14564144736842105,0.00797697368421052,0.004851973684210526,0.021052631578947368,0.01620065789473684
40,"(0,.25]",5.183713788065893,9.846093569625474,1.8994284739048397,4.662379781559581,7591.672904865845,14268.193970001827,1.8794532046891401,0.9979552728591568,0.9979745885469642,0.16337862555526522,0.13639518552390906,-0.026983440031356165,0.34192905670237783,0.3132267441860465,-0.02870231251633132,0.07973363600731644,0.0710127057747583,-0.008720930232558141
40,0,3.122659350758347,8.167895175754584,2.6156856250653746,5.045235824996237,4691.229136367292,12147.287685274156,2.5893614087417074,0.9979637232930763,0.9979686503086875,0.06562244062244063,0.055308149058149056,-0.010314291564291575,0.28025184275184273,0.22957616707616707,-0.05067567567567566,0.0238022113022113,0.032862407862407864,0.009060196560196562
45,"(.25,.5]",7.575947173278742,8.145703274011169,1.0752059231276088,0.5697561007324268,9817.027575199147,11173.654343561924,1.138191194633092,0.9980720365734412,0.9980697808972903,0.20116897115670532,0.1778731787094856,-0.023295792447219715,0.29642432352066606,0.26459820101100207,-0.03182612250966399,0.07603887897710378,0.052120502527505205,-0.023918376449598572
45,"(.5,.75]",5.6058301127866486,3.6025974353533483,0.6426519111123229,-2.0032326774333002,6890.456470809036,4567.18795496477,0.6628280686937593,0.9980233338365552,0.9980492778544057,0.21455965909090907,0.18977272727272726,-0.024786931818181812,0.2538352272727273,0.23025568181818182,-0.023579545454545464,0.051897321428571425,0.03892045454545455,-0.012976866883116875
45,"(.75,1)",6.358148945554307,3.0236842511221766,0.47556046217450954,-3.33446469443213,7547.032096907213,3982.005123933417,0.5276253065844585,0.9981275832628007,0.9980405047402916,0.1328947368421053,0.11208881578947369,-0.0208059210526316,0.15838815789473684,0.140625,-0.017763157894736842,0.020723684210526318,0.009539473684210526,-0.011184210526315791
