snapshot_pct,direction,bin,n_questions,n_questions_A,n_questions_B,delta_R,delta_T,delta_C
90,B-bin/A-base,0,37,,,0.02702702702702703,0.2533783783783784,-0.0016891891891891893
90,B-bin/A-base,"(0,.25]",86,,,0.19912790697674418,0.35319767441860467,0.11264534883720931
90,B-bin/A-base,"(.25,.5]",59,,,0.1885593220338983,0.2775423728813559,0.07309322033898305
90,B-bin/A-base,"(.5,.75]",55,,,0.17613636363636365,0.22386363636363638,0.02727272727272727
90,B-bin/A-base,"(.75,1)",19,,,0.11513157894736842,0.12828947368421054,0.009868421052631578
95,A-bin/B-base,0,33,,,0.06818181818181818,0.2784090909090909,0.026515151515151516
95,A-bin/B-base,"(0,.25]",89,,,0.16432584269662923,0.3455056179775281,0.09410112359550561
95,A-bin/B-base,"(.25,.5]",57,,,0.18640350877192982,0.28399122807017546,0.0537280701754386
95,A-bin/B-base,"(.5,.75]",56,,,0.18973214285714285,0.25,0.017857142857142856
95,A-bin/B-base,"(.75,1)",20,,,0.096875,0.13125,0.00625
95,A-bin/B-base,1,1,,,0.125,0.125,0.0625
95,B-bin/A-base,0,37,,,0.04054054054054054,0.2922297297297297,0.010135135135135136
95,B-bin/A-base,"(0,.25]",86,,,0.16279069767441862,0.345203488372093,0.08357558139534883
95,B-bin/A-base,"(.25,.5]",59,,,0.15995762711864406,0.2733050847457627,0.05190677966101695
95,B-bin/A-base,"(.5,.75]",55,,,0.18863636363636363,0.23295454545454544,0.03977272727272727
95,B-bin/A-base,"(.75,1)",19,,,0.11842105263157894,0.1118421052631579,0.013157894736842105
100,A-bin/B-base,0,33,,,0.06628787878787878,0.2821969696969697,0.015151515151515152
100,A-bin/B-base,"(0,.25]",89,,,0.18469101123595505,0.33497191011235955,0.10463483146067416
100,A-bin/B-base,"(.25,.5]",57,,,0.20614035087719298,0.3256578947368421,0.05701754385964912
100,A-bin/B-base,"(.5,.75]",56,,,0.19977678571428573,0.25892857142857145,0.03571428571428571
100,A-bin/B-base,"(.75,1)",20,,,0.10625,0.140625,0.015625
100,A-bin/B-base,1,1,,,0.1875,0.1875,0.0625
100,B-bin/A-base,0,37,,,0.033783783783783786,0.30574324324324326,-0.005067567567567568
100,B-bin/A-base,"(0,.25]",86,,,0.1744186046511628,0.34375,0.08648255813953488
100,B-bin/A-base,"(.25,.5]",59,,,0.20127118644067796,0.2902542372881356,0.07838983050847458
100,B-bin/A-base,"(.5,.75]",55,,,0.2,0.2431818181818182,0.05113636363636364
100,B-bin/A-base,"(.75,1)",19,,,0.1118421052631579,0.13157894736842105,0.01644736842105263
5,symmetric,0,,33,37,0.002073095823095823,-0.018043611793611795,-0.00982800982800983
5,symmetric,"(0,.25]",,89,86,0.026232198850274367,0.021414456493336814,0.017282629997386986
5,symmetric,"(.25,.5]",,57,59,0.006235132322331251,0.006820547130538209,0.00497137972048766
5,symmetric,"(.5,.75]",,56,55,0.025801542207792207,0.030306412337662337,-0.007903814935064936
5,symmetric,"(.75,1)",,20,19,-0.036513157894736845,-0.02738486842105263,-0.02055921052631579
10,symmetric,0,,33,37,0.007985257985257985,0.025926494676494678,-0.010544635544635545
10,symmetric,"(0,.25]",,89,86,0.03287905016984583,0.060152371309119414,0.02028351188920826
10,symmetric,"(.25,.5]",,57,59,0.0517488105857865,0.06131987808504312,0.005556794528694618
10,symmetric,"(.5,.75]",,56,55,0.05984172077922078,0.06931818181818182,0.008005275974025974
10,symmetric,"(.75,1)",,20,19,0.008141447368421052,0.026973684210526316,-0.0030427631578947368
15,symmetric,0,,33,37,0.04013104013104013,0.07273751023751024,0.01568898443898444
15,symmetric,"(0,.25]",,89,86,0.06701561275150249,0.13390057486281684,0.05477119806637053
15,symmetric,"(.25,.5]",,57,59,0.0834541332143919,0.12713722866488253,0.015248661909009812
15,symmetric,"(.5,.75]",,56,55,0.11309862012987013,0.146875,-0.001156655844155844
15,symmetric,"(.75,1)",,20,19,0.043421052631578944,0.057236842105263155,-0.002960526315789474
20,symmetric,0,,33,37,0.021268427518427516,0.12182637182637182,-0.0014844389844389846
20,symmetric,"(0,.25]",,89,86,0.09627319048863339,0.1869079892866475,0.06196514894172982
20,symmetric,"(.25,.5]",,57,59,0.10879423134106453,0.1590562741599762,0.032699598572702944
20,symmetric,"(.5,.75]",,56,55,0.12615665584415584,0.1660815746753247,0.01190137987012987
20,symmetric,"(.75,1)",,20,19,0.08141447368421054,0.10682565789473683,-0.004934210526315789
25,symmetric,0,,33,37,0.052671990171990174,0.18634828009828008,0.022752866502866502
25,symmetric,"(0,.25]",,89,86,0.10670074470864907,0.2278506336556049,0.06208763391690619
25,symmetric,"(.25,.5]",,57,59,0.13473832887303006,0.20370576865893547,0.03768956289027654
25,symmetric,"(.5,.75]",,56,55,0.15876623376623378,0.19249188311688312,0.028196022727272726
25,symmetric,"(.75,1)",,20,19,0.0897203947368421,0.11990131578947369,0.006414473684210526
30,symmetric,0,,33,37,0.039184070434070434,0.19878685503685503,0.014946764946764947
30,symmetric,"(0,.25]",,89,86,0.12530212960543508,0.27544421217663967,0.061687516331330024
30,symmetric,"(.25,.5]",,57,59,0.16548654475170976,0.2313317722271781,0.05210191793041927
30,symmetric,"(.5,.75]",,56,55,0.1671875,0.19756493506493505,0.029819399350649353
30,symmetric,"(.75,1)",,20,19,0.11077302631578947,0.12154605263157894,0.014884868421052631
35,symmetric,0,,33,37,0.03908169533169534,0.2053132678132678,0.014946764946764947
35,symmetric,"(0,.25]",,89,86,0.1367585576169323,0.2647880193362947,0.08318362947478443
35,symmetric,"(.25,.5]",,57,59,0.16503122212310437,0.25296424323520666,0.04417558727326791
35,symmetric,"(.5,.75]",,56,55,0.18016436688311688,0.22181412337662337,0.02594358766233766
35,symmetric,"(.75,1)",,20,19,0.1138157894736842,0.12450657894736841,0.022615131578947366
40,symmetric,0,,33,37,0.055308149058149056,0.22957616707616707,0.032862407862407864
40,symmetric,"(0,.25]",,89,86,0.13639518552390906,0.3132267441860465,0.0710127057747583
40,symmetric,"(.25,.5]",,57,59,0.17624702646446627,0.2586975914362176,0.06509255129348795
40,symmetric,"(.5,.75]",,56,55,0.18065137987012986,0.2273538961038961,0.030976055194805195
40,symmetric,"(.75,1)",,20,19,0.12220394736842105,0.14564144736842105,0.021052631578947368
45,symmetric,0,,33,37,0.04381654381654382,0.24621212121212122,0.0030456592956592957
45,symmetric,"(0,.25]",,89,86,0.16851074601515548,0.3171258492291612,0.10093578521034753
45,symmetric,"(.25,.5]",,57,59,0.1778731787094856,0.26459820101100207,0.052120502527505205
45,symmetric,"(.5,.75]",,56,55,0.18977272727272726,0.23025568181818182,0.03892045454545455
45,symmetric,"(.75,1)",,20,19,0.11208881578947369,0.140625,0.009539473684210526
50,symmetric,0,,33,37,0.06267915642915643,0.2609797297297297,0.03887694512694513
50,symmetric,"(0,.25]",,89,86,0.1614147831199373,0.34065521296054346,0.08813610530441598
50,symmetric,"(.25,.5]",,57,59,0.1956679304192685,0.2839447665774606,0.06189600059470711
50,symmetric,"(.5,.75]",,56,55,0.19645900974025976,0.23864650974025975,0.03494318181818182
50,symmetric,"(.75,1)",,20,19,0.11398026315789474,0.1359375,0.020970394736842105
55,symmetric,0,,33,37,0.06152743652743653,0.2705773955773956,0.03455159705159705
55,symmetric,"(0,.25]",,89,86,0.16891086360073165,0.32210282205382806,0.09675904755683304
55,symmetric,"(.25,.5]",,57,59,0.20206103181683022,0.27647375854891465,0.08010890573892357
55,symmetric,"(.5,.75]",,56,55,0.18515625,0.23527800324675324,0.026410308441558443
55,symmetric,"(.75,1)",,20,19,0.12820723684210528,0.13577302631578947,0.033799342105263155
60,symmetric,0,,33,37,0.05192977067977068,0.24610974610974612,0.02021908271908272
60,symmetric,"(0,.25]",,89,86,0.15469444081526001,0.3365642147896525,0.08175463809772668
60,symmetric,"(.25,.5]",,57,59,0.1882155069878085,0.2917502973535534,0.06036277133511746
60,symmetric,"(.5,.75]",,56,55,0.1947747564935065,0.24485592532467532,0.030458603896103893
60,symmetric,"(.75,1)",,20,19,0.13314144736842104,0.1455592105263158,0.030592105263157896
65,symmetric,0,,33,37,0.06953828828828829,0.26161957411957415,0.03908169533169534
65,symmetric,"(0,.25]",,89,86,0.18042853409981707,0.35223412594721715,0.09751028873791481
65,symmetric,"(.25,.5]",,57,59,0.22051553672316382,0.3067108980077312,0.08729185251263752
65,symmetric,"(.5,.75]",,56,55,0.20711241883116882,0.24703733766233765,0.03886972402597402
65,symmetric,"(.75,1)",,20,19,0.09942434210526316,0.12458881578947369,0.011348684210526316
70,symmetric,0,,33,37,0.069000819000819,0.2823761261261261,0.02613124488124488
70,symmetric,"(0,.25]",,89,86,0.16188839169061928,0.3396508361640972,0.08644172981447609
70,symmetric,"(.25,.5]",,57,59,0.19104965804341362,0.2980876449598573,0.06259292298542968
70,symmetric,"(.5,.75]",,56,55,0.17904829545454545,0.23922483766233765,0.019155844155844155
70,symmetric,"(.75,1)",,20,19,0.1027138157894737,0.1278782894736842,0.008223684210526315
75,symmetric,0,,33,37,0.06615990990990991,0.2789209664209664,0.022113022113022112
75,symmetric,"(0,.25]",,89,86,0.15426982623464855,0.3273329304938594,0.07282956623987458
75,symmetric,"(.25,.5]",,57,59,0.18110689860243828,0.26985764198632173,0.054917484388938446
75,symmetric,"(.5,.75]",,56,55,0.20770089285714288,0.24537337662337663,0.03210227272727273
75,symmetric,"(.75,1)",,20,19,0.1171875,0.14547697368421053,0.009868421052631578
80,symmetric,0,,33,37,0.07565520065520065,0.32724201474201475,0.03214578214578215
80,symmetric,"(0,.25]",,89,86,0.17391233342043377,0.34114107002874317,0.09634668147373922
80,symmetric,"(.25,.5]",,57,59,0.2054434284864704,0.3023435176925364,0.08142841213202498
80,symmetric,"(.5,.75]",,56,55,0.2246550324675325,0.26457995129870127,0.053013392857142856
80,symmetric,"(.75,1)",,20,19,0.12491776315789474,0.1375,0.033634868421052636
