snapshot_pct,snapshot_step,direction,bin,n_panel_questions,n_exposed_groups,n_unique_exposed_questions,exposure_fraction,active_group_fraction,mean_k_over_G,mean_group_total_abs_advantage,mean_completion_length,cumulative_abs_advantage_per_panel_question,actual_is_ess_fraction,actual_is_mean_ratio,actual_is_cap_fraction,exploratory_dapo_is_abs_mass_per_panel_question
10,374,A-bin,1,1,0,0,0.0,,,,,0.0,,,,0.0
10,374,B-bin,0,37,5,5,0.13513513513513514,0.6,0.075,5.966268292069435,1733.675,0.806252471901275,0.9979459456585813,0.9999725146035064,0.0,1195.9732742785586
10,374,B-bin,"(0,.25]",86,7,7,0.08139534883720931,1.0,0.16071428571428573,10.506022800292287,1837.6517857142858,0.8551413907214652,0.997886765899204,0.9999385298533866,0.0,1401.1982421586188
10,374,B-bin,"(.25,.5]",59,9,9,0.15254237288135594,1.0,0.4236111111111111,14.401656054788166,1550.7430555555557,2.196862788018534,0.9980283604044737,1.0000104995656924,0.0,3271.9472554784206
10,374,B-bin,"(.5,.75]",55,6,6,0.10909090909090909,1.0,0.71875,13.316000923514366,1278.6770833333333,1.4526546462015673,0.9979263853470868,1.000206024469984,0.0,2154.3518836269955
10,374,B-bin,"(.75,1)",19,1,1,0.05263157894736842,1.0,0.625,14.997000455856323,1317.6875,0.7893158134661222,0.9982848635439431,1.0000102389318488,0.0,1116.0758243791886
15,560,A-bin,0,33,5,5,0.15151515151515152,0.6,0.05,5.04759104847908,1803.65,0.7647865224968303,0.9979720843047107,1.0001119883895777,0.0,1266.710512782845
15,560,A-bin,"(0,.25]",89,14,14,0.15730337078651685,0.9285714285714286,0.13392857142857142,9.450309172272682,1769.75,1.4865654877732308,0.9978260586673834,0.9999406184687116,0.0,2288.4704287109435
15,560,A-bin,"(.25,.5]",57,11,11,0.19298245614035087,1.0,0.4431818181818182,14.07674547217109,1531.340909090909,2.7165649156821403,0.9980648934894973,1.000049336453503,0.0,4001.4609011629027
15,560,A-bin,"(.5,.75]",56,8,8,0.14285714285714285,1.0,0.6484375,14.477426931262016,1330.2890625,2.068203847323145,0.99788686984876,1.0001495544226386,0.0,3012.831363040989
15,560,A-bin,"(.75,1)",20,4,4,0.2,1.0,0.78125,11.999449584633112,1140.28125,2.3998899169266226,0.9982333770732693,1.0001449192194931,0.0,3438.4003985059526
15,560,A-bin,1,1,0,0,0.0,,,,,0.0,,,,0.0
15,560,B-bin,0,37,7,7,0.1891891891891892,0.5714285714285714,0.0625,5.332620450428554,1751.3035714285713,1.008874139270267,0.9979119221219451,0.9999991657431302,0.0,1484.4282480290658
15,560,B-bin,"(0,.25]",86,13,13,0.1511627906976744,1.0,0.16826923076923078,10.531106575177265,1752.1201923076924,1.591911459038424,0.9978769300215613,0.9999554884810699,0.0,2438.5331685673955
15,560,B-bin,"(.25,.5]",59,10,10,0.1694915254237288,1.0,0.40625,14.302831277251244,1577.3625,2.424208691059533,0.9980263680979491,1.0000448883098674,0.0,3644.438508506278
15,560,B-bin,"(.5,.75]",55,9,9,0.16363636363636364,1.0,0.7430555555555556,12.796091432372728,1245.951388888889,2.093905870751901,0.9979647067775046,1.000236487222604,0.0,3084.5108475789143
15,560,B-bin,"(.75,1)",19,3,3,0.15789473684210525,1.0,0.6458333333333334,14.592611114184061,1273.0208333333333,2.3040964917132727,0.9980667248422589,1.0000750205401907,0.0,3249.3412869066096
