snapshot_pct,snapshot_step,direction,bin,n_panel_questions,n_exposed_groups,n_unique_exposed_questions,exposure_fraction,active_group_fraction,mean_k_over_G,mean_group_total_abs_advantage,mean_completion_length,cumulative_abs_advantage_per_panel_question,actual_is_ess_fraction,actual_is_mean_ratio,actual_is_cap_fraction,exploratory_dapo_is_abs_mass_per_panel_question
15,560,A-bin,0,33,5,5,0.15151515151515152,0.2,0.0125,6.0,1791.6,0.9090909090909091,0.9979469454890467,0.9999569106057327,0.0,1217.4697408116226
15,560,A-bin,"(0,.25]",89,14,14,0.15730337078651685,0.9285714285714286,0.19642857142857142,23.428571471146174,1768.9151785714287,3.6853932651241172,0.9978466253301252,1.0000447528665029,0.0,5582.562256528198
15,560,A-bin,"(.25,.5]",57,11,11,0.19298245614035087,1.0,0.4602272727272727,17.272727396000516,1562.3068181818182,3.3333333571229065,0.9980497054619698,0.9998910475631776,0.0,5141.141384980384
15,560,A-bin,"(.5,.75]",56,8,8,0.14285714285714285,1.0,0.609375,12.500000011175871,1349.484375,1.7857142873108387,0.997916812780403,0.9999000100965834,0.0,2593.263652725305
15,560,A-bin,"(.75,1)",20,4,4,0.2,1.0,0.765625,7.500000100582838,1096.375,1.5000000201165675,0.9981003845991581,0.9999047515933169,0.0,2029.233271109614
15,560,A-bin,1,1,0,0,0.0,,,,,0.0,,,,0.0
15,560,B-bin,0,37,7,7,0.1891891891891892,0.42857142857142855,0.0625,11.714285850524902,1788.5,2.216216241991198,0.9978518846712672,1.0001034464700054,0.0,3204.968334798143
15,560,B-bin,"(0,.25]",86,13,13,0.1511627906976744,0.9230769230769231,0.21634615384615385,22.61538462455456,1747.4278846153845,3.4186046525489453,0.9979073331559319,1.0000097859565524,0.0,5108.734401164131
15,560,B-bin,"(.25,.5]",59,10,10,0.1694915254237288,1.0,0.39375,19.400000035762787,1625.8875,3.288135599281828,0.9980375290058203,0.9997846285601785,0.0,5107.731122679899
15,560,B-bin,"(.5,.75]",55,9,9,0.16363636363636364,1.0,0.7013888888888888,9.555555648273891,1224.0902777777778,1.563636378808455,0.9979697335061185,0.9999440562961837,0.0,2275.5836301106615
15,560,B-bin,"(.75,1)",19,3,3,0.15789473684210525,1.0,0.7708333333333334,7.333333392937978,1192.6041666666667,1.1578947462533649,0.9979457703219226,0.9999869584901873,0.0,1654.1478112967084
