snapshot_pct,snapshot_step,direction,bin,n_panel_questions_A,n_panel_questions_B,n_exposed_groups_A,n_exposed_groups_B,exposure_fraction,cumulative_abs_advantage_per_panel_question,exploratory_dapo_is_abs_mass_per_panel_question,active_group_fraction,mean_k_over_G,mean_group_total_abs_advantage,mean_completion_length,actual_is_ess_fraction,actual_is_mean_ratio,actual_is_cap_fraction
15,560,symmetric,0,33,37,5,7,0.17035217035217037,1.5626535755410536,2211.2190378048826,0.3142857142857143,0.0375,8.857142925262451,1790.05,0.997899415080157,1.0000301785378691,0.0
15,560,symmetric,"(0,.25]",89,86,14,13,0.15423308074209563,3.5519989588365313,5345.648328846164,0.9258241758241759,0.20638736263736263,23.021978047850368,1758.1715315934066,0.9978769792430287,1.0000272694115275,0.0
15,560,symmetric,"(.25,.5]",57,59,11,10,0.18123699078203984,3.3107344782023675,5124.436253830141,1.0,0.4269886363636364,18.336363715881653,1594.0971590909091,0.9980436172338951,0.999837838061678,0.0
15,560,symmetric,"(.5,.75]",56,55,8,9,0.15324675324675324,1.6746753330596469,2434.423641417983,1.0,0.6553819444444444,11.027777829724881,1286.787326388889,0.9979432731432607,0.9999220331963835,0.0
15,560,symmetric,"(.75,1)",20,19,4,3,0.17894736842105263,1.3289473831849663,1841.690541203161,1.0,0.7682291666666667,7.4166667467604075,1144.4895833333335,0.9980230774605403,0.9999458550417522,0.0
20,747,symmetric,0,33,37,7,10,0.24119574119574122,2.6953317064129845,4411.239247351669,0.41428571428571426,0.06517857142857143,11.171428610597339,1831.9013392857144,0.9979230432218431,1.0000102601692111,0.0
20,747,symmetric,"(0,.25]",89,86,20,19,0.22282466684086752,4.916514255170695,7409.122679395163,0.8986842105263158,0.2089638157894737,22.071052695418658,1745.6287006578946,0.9979293002608649,1.0000605350618308,0.0
20,747,symmetric,"(.25,.5]",57,59,13,12,0.21573000297353553,3.828724371247745,5845.010370412687,1.0,0.4441105769230769,17.788461620035843,1546.1780849358975,0.9980419023011334,0.9998725195682376,0.0
20,747,symmetric,"(.5,.75]",56,55,11,10,0.18912337662337664,1.9967532588773733,2829.0241200367664,1.0,0.671875,10.500000065158714,1222.9065340909092,0.9979573793727714,0.9999465696620629,0.0
20,747,symmetric,"(.75,1)",20,19,7,7,0.3592105263157894,1.9500000270769786,2649.146349598086,0.8571428571428571,0.8303571428571429,5.428571504141603,1001.2946428571429,0.9980205707540701,1.0002277263307118,0.0
25,934,symmetric,0,33,37,10,14,0.34070434070434075,4.736281747363026,7781.536561432458,0.5,0.06651785714285714,13.871428599527905,1793.54375,0.9979342846827022,0.9999393898889126,0.0
25,934,symmetric,"(0,.25]",89,86,24,23,0.26855239090671545,5.750457288049549,8583.352877715344,0.8731884057971014,0.2039741847826087,21.414855112632118,1697.2892323369565,0.9979570860035423,1.000055059714402,0.0
25,934,symmetric,"(.25,.5]",57,59,20,17,0.31950639310139756,5.212013100065931,7608.259932975801,1.0,0.4881433823529412,16.37941181567662,1431.488419117647,0.9980594155756093,0.9998746176030728,0.0
25,934,symmetric,"(.5,.75]",56,55,14,14,0.25227272727272726,2.3032467705983812,3184.1715827332664,1.0,0.7142857142857142,9.142857211508922,1151.0625,0.997990713394893,1.0000113575760627,0.0
25,934,symmetric,"(.75,1)",20,19,7,7,0.3592105263157894,1.9500000270769786,2649.146349598086,0.8571428571428571,0.8303571428571429,5.428571504141603,1001.2946428571429,0.9980205707540701,1.0002277263307118,0.0
30,1121,symmetric,0,33,37,11,15,0.36936936936936937,5.4242424353237135,8695.337915061908,0.5393939393939393,0.08087121212121212,14.672727299097811,1773.4212121212122,0.9979748293512045,0.9999495288691346,0.0
30,1121,symmetric,"(0,.25]",89,86,28,26,0.30846616148419126,6.629344147990446,9942.457357797524,0.8901098901098901,0.21814903846153846,21.50274729843323,1693.0544299450548,0.9979815445628701,1.0000618344142693,0.0
30,1121,symmetric,"(.25,.5]",57,59,23,19,0.36277133511745463,5.609574804940449,8151.0802488557965,1.0,0.514087528604119,15.549199140198034,1400.8231550343248,0.9980767262387462,0.9998885831184856,0.0
30,1121,symmetric,"(.5,.75]",56,55,16,19,0.3155844155844156,2.7740259958431124,3781.354683590055,1.0,0.7220394736842105,8.894736909528117,1128.6271587171054,0.998007762497807,0.9999758929577911,0.0
