snapshot_pct,snapshot_step,direction,bin,n_exposed,n_unexposed,baseline_p0_mean_exposed,baseline_p0_mean_unexposed,baseline_p0_diff_exposed_minus_unexposed,baseline_p0_smd_exposed_minus_unexposed,p0_completion_length_mean_exposed,p0_completion_length_mean_unexposed,p0_completion_length_diff_exposed_minus_unexposed,p0_completion_length_smd_exposed_minus_unexposed,prompt_tokens_mean_exposed,prompt_tokens_mean_unexposed,prompt_tokens_diff_exposed_minus_unexposed,prompt_tokens_smd_exposed_minus_unexposed
45,1681,A-bin/B-base,"(.5,.75]",24,32,0.5859375,0.599609375,-0.013671875,-0.08503580870769122,1362.46875,1375.810546875,-13.341796875,-0.05972751635817089,80.45833333333333,86.84375,-6.385416666666671,-0.41246058411564507
45,1681,A-bin/B-base,"(.75,1)",12,8,0.8177083333333334,0.75,0.06770833333333337,0.8547207441218899,1107.9479166666667,1108.0703125,-0.12239583333325754,-0.0008423075302177179,76.58333333333333,82.75,-6.166666666666671,-0.39803742667861935
45,1681,B-bin/A-base,0,22,15,0.05113636363636364,0.05,0.0011363636363636367,0.017524990930819547,1862.9318181818182,1828.4333333333334,34.49848484848485,0.19195037854845837,107.5,102.93333333333334,4.566666666666663,0.2137169948426583
45,1681,B-bin/A-base,"(0,.25]",44,42,0.1875,0.15327380952380953,0.034226190476190466,0.24714757469265616,1788.3948863636363,1786.8943452380952,1.5005411255410763,0.008057346253489622,98.04545454545455,99.0,-0.9545454545454533,-0.04794328360912407
45,1681,B-bin/A-base,"(.25,.5]",30,29,0.42083333333333334,0.4418103448275862,-0.02097701149425285,-0.10927464493308604,1513.1354166666667,1576.948275862069,-63.812859195402325,-0.2926282790400889,89.03333333333333,91.3103448275862,-2.277011494252875,-0.13352838871135433
45,1681,B-bin/A-base,"(.5,.75]",25,30,0.625,0.6104166666666667,0.014583333333333282,0.09785141558384652,1299.2,1339.7125,-40.512500000000045,-0.18791377478539395,78.08,89.1,-11.019999999999996,-0.7097067093581236
45,1681,B-bin/A-base,"(.75,1)",11,8,0.7613636363636364,0.796875,-0.035511363636363646,-0.27393347779538874,1121.4204545454545,1094.0859375,27.334517045454504,0.1316810211543064,75.0909090909091,81.125,-6.0340909090909065,-0.39065995522344094
65,2428,A-bin/B-base,0,20,13,0.028125,0.04326923076923077,-0.015144230769230767,-0.3204982158711404,1860.634375,1911.014423076923,-50.380048076923,-0.32474700411806984,108.9,104.53846153846153,4.361538461538473,0.22277012198942137
65,2428,A-bin/B-base,"(0,.25]",62,27,0.14213709677419356,0.14583333333333334,-0.0036962365591397817,-0.029059216976807856,1786.8870967741937,1764.650462962963,22.236633811230604,0.11599567872267309,97.40322580645162,99.51851851851852,-2.1152927120669034,-0.10112348029022195
65,2428,A-bin/B-base,"(.25,.5]",41,16,0.4222560975609756,0.4375,-0.015243902439024404,-0.08191869389446728,1546.5503048780488,1565.53125,-18.98094512195121,-0.0952818275860037,88.92682926829268,96.1875,-7.260670731707322,-0.4342011411445491
