direction,bin,dataset_index,exposure_step,baseline_p0,baseline_p0_completion_length,prompt_token_count
B-bin/A-base,"(.25,.5]",62,302,0.375,1399.4375,72
A-bin/B-base,0,63,797,0.0,2008.375,119
B-bin/A-base,0,63,797,0.0,2048.0,119
A-bin/B-base,"(.25,.5]",64,3703,0.5,1495.125,89
B-bin/A-base,"(.25,.5]",64,3703,0.4375,1600.125,89
A-bin/B-base,"(.25,.5]",65,1501,0.375,1678.0625,78
B-bin/A-base,"(.25,.5]",65,1501,0.4375,1411.6875,78
A-bin/B-base,"(0,.25]",66,39,0.0,1903.375,103
B-bin/A-base,0,66,39,0.125,1926.9375,103
A-bin/B-base,"(0,.25]",67,1330,0.0625,1993.375,113
B-bin/A-base,"(0,.25]",67,1330,0.1875,1881.1875,113
A-bin/B-base,"(.25,.5]",68,3495,0.25,1842.5625,89
B-bin/A-base,"(0,.25]",68,3495,0.4375,1749.4375,89
A-bin/B-base,"(.5,.75]",69,3105,0.5625,1369.5625,67
B-bin/A-base,"(.5,.75]",69,3105,0.625,1351.75,67
A-bin/B-base,"(.5,.75]",70,2025,0.9375,821.875,67
B-bin/A-base,"(.75,1)",70,2025,0.75,1077.5,67
A-bin/B-base,"(.5,.75]",71,736,0.75,858.5,100
B-bin/A-base,"(.5,.75]",71,736,0.75,899.9375,100
A-bin/B-base,"(0,.25]",72,199,0.25,1594.4375,117
B-bin/A-base,"(0,.25]",72,199,0.25,1688.6875,117
A-bin/B-base,"(.25,.5]",73,568,0.8125,1218.875,102
B-bin/A-base,"(.75,1)",73,568,0.5,1351.4375,102
A-bin/B-base,"(.25,.5]",74,994,0.6875,1433.5,89
B-bin/A-base,"(.5,.75]",74,994,0.4375,1423.6875,89
A-bin/B-base,"(.25,.5]",75,819,0.3125,1765.875,88
B-bin/A-base,"(.25,.5]",75,819,0.5,1507.5,88
A-bin/B-base,"(0,.25]",76,2871,0.0625,1876.0625,67
B-bin/A-base,"(0,.25]",76,2871,0.0625,1902.375,67
A-bin/B-base,"(0,.25]",77,1542,0.5,1306.5,81
B-bin/A-base,"(.25,.5]",77,1542,0.1875,1744.625,81
A-bin/B-base,"(0,.25]",78,2244,0.125,1331.9375,92
B-bin/A-base,"(0,.25]",78,2244,0.1875,1515.4375,92
A-bin/B-base,"(.75,1)",79,2577,0.75,1011.0625,61
B-bin/A-base,"(.5,.75]",79,2577,0.9375,671.5,61
A-bin/B-base,"(0,.25]",80,251,0.1875,1815.3125,91
B-bin/A-base,"(0,.25]",80,251,0.0625,1800.6875,91
A-bin/B-base,"(0,.25]",81,2717,0.0625,1754.125,131
B-bin/A-base,"(0,.25]",81,2717,0.25,1773.9375,131
A-bin/B-base,"(.25,.5]",82,123,0.375,1516.8125,77
B-bin/A-base,"(.25,.5]",82,123,0.375,1556.3125,77
A-bin/B-base,"(.25,.5]",83,3463,0.375,1629.75,95
B-bin/A-base,"(.25,.5]",83,3463,0.375,1643.6875,95
A-bin/B-base,"(.25,.5]",84,2997,0.125,1834.625,90
B-bin/A-base,"(0,.25]",84,2997,0.3125,1757.375,90
A-bin/B-base,"(.25,.5]",85,390,0.4375,1584.875,95
B-bin/A-base,"(.25,.5]",85,390,0.3125,1810.6875,95
A-bin/B-base,"(.25,.5]",86,367,0.625,1425.25,73
B-bin/A-base,"(.5,.75]",86,367,0.5,1348.125,73
A-bin/B-base,"(0,.25]",87,2892,0.25,1394.1875,83
B-bin/A-base,"(0,.25]",87,2892,0.25,1666.25,83
A-bin/B-base,"(.25,.5]",88,2531,0.5,1156.75,66
B-bin/A-base,"(.25,.5]",88,2531,0.4375,1386.1875,66
A-bin/B-base,"(0,.25]",89,1105,0.1875,1820.0,92
B-bin/A-base,"(0,.25]",89,1105,0.125,1921.0,92
A-bin/B-base,"(0,.25]",90,847,0.0625,1830.625,82
B-bin/A-base,"(0,.25]",90,847,0.0625,1744.5,82
A-bin/B-base,"(0,.25]",91,3041,0.125,1928.5625,108
B-bin/A-base,"(0,.25]",91,3041,0.125,1938.6875,108
A-bin/B-base,"(0,.25]",92,3214,0.3125,1770.1875,101
B-bin/A-base,"(.25,.5]",92,3214,0.125,1737.6875,101
A-bin/B-base,"(.5,.75]",93,2614,0.375,1637.5,78
B-bin/A-base,"(.25,.5]",93,2614,0.75,1292.1875,78
A-bin/B-base,"(.5,.75]",94,2192,0.5625,1430.5,62
B-bin/A-base,"(.5,.75]",94,2192,0.5625,1469.5625,62
A-bin/B-base,"(0,.25]",95,610,0.0,1839.625,92
B-bin/A-base,0,95,610,0.125,1845.875,92
A-bin/B-base,"(.75,1)",96,2987,0.6875,1254.4375,98
B-bin/A-base,"(.5,.75]",96,2987,0.8125,1279.3125,98
A-bin/B-base,0,97,315,0.0,1943.5625,135
B-bin/A-base,0,97,315,0.0,1900.375,135
A-bin/B-base,"(.25,.5]",98,2219,0.375,1332.1875,113
B-bin/A-base,"(.25,.5]",98,2219,0.3125,1704.625,113
A-bin/B-base,0,99,2965,0.0,1956.1875,123
B-bin/A-base,0,99,2965,0.0,2048.0,123
A-bin/B-base,"(.25,.5]",100,2174,0.25,1596.0,83
B-bin/A-base,"(0,.25]",100,2174,0.375,1725.4375,83
A-bin/B-base,"(0,.25]",101,2112,0.3125,1613.0625,136
B-bin/A-base,"(.25,.5]",101,2112,0.25,1615.3125,136
A-bin/B-base,"(0,.25]",102,2739,0.375,1595.75,97
B-bin/A-base,"(.25,.5]",102,2739,0.1875,1837.875,97
A-bin/B-base,0,103,824,0.0,2048.0,131
B-bin/A-base,0,103,824,0.0,1974.1875,131
A-bin/B-base,"(.5,.75]",104,1749,0.4375,1691.5625,72
B-bin/A-base,"(.25,.5]",104,1749,0.75,1237.375,72
A-bin/B-base,"(.5,.75]",105,1613,0.5625,1454.6875,61
B-bin/A-base,"(.5,.75]",105,1613,0.5625,1228.375,61
A-bin/B-base,"(.5,.75]",106,492,0.8125,1186.1875,70
B-bin/A-base,"(.75,1)",106,492,0.75,1110.0625,70
A-bin/B-base,"(0,.25]",107,2541,0.125,1691.0625,121
B-bin/A-base,"(0,.25]",107,2541,0.125,1855.0625,121
A-bin/B-base,"(.25,.5]",108,2893,0.1875,1713.25,86
B-bin/A-base,"(0,.25]",108,2893,0.3125,1395.4375,86
A-bin/B-base,"(.25,.5]",109,2397,0.625,1327.4375,75
B-bin/A-base,"(.5,.75]",109,2397,0.5,1525.0625,75
A-bin/B-base,"(.5,.75]",110,3389,0.4375,1443.3125,98
B-bin/A-base,"(.25,.5]",110,3389,0.5625,1244.375,98
A-bin/B-base,"(.75,1)",111,3703,0.625,1245.375,83
B-bin/A-base,"(.5,.75]",111,3703,0.8125,1155.3125,83
A-bin/B-base,"(.25,.5]",112,3659,0.625,1207.5,112
B-bin/A-base,"(.5,.75]",112,3659,0.5,1331.9375,112
A-bin/B-base,"(.5,.75]",113,1977,0.75,975.25,86
B-bin/A-base,"(.5,.75]",113,1977,0.5625,1274.3125,86
A-bin/B-base,"(.75,1)",114,712,0.8125,1154.875,61
B-bin/A-base,"(.75,1)",114,712,0.8125,1039.3125,61
A-bin/B-base,"(.25,.5]",115,475,0.25,1790.6875,84
B-bin/A-base,"(0,.25]",115,475,0.5,1635.8125,84
A-bin/B-base,0,116,395,0.0,2006.1875,132
B-bin/A-base,0,116,395,0.0,1803.5625,132
A-bin/B-base,0,117,2801,0.0,2048.0,126
B-bin/A-base,0,117,2801,0.0,2048.0,126
A-bin/B-base,"(0,.25]",118,3502,0.0,1720.1875,79
B-bin/A-base,0,118,3502,0.0625,1437.1875,79
